date,year,tfp
1948,1948,3.708128166398908
1949,1949,-0.7607736662000187
1950,1950,7.168985663837471
1951,1951,2.249259934769872
1952,1952,1.8528744423500414
1953,1953,2.417271218361608
1954,1954,-0.10552220586102501
1955,1955,4.534377082591429
1956,1956,0.06643863444632248
1957,1957,1.0544989785726906
1958,1958,0.1404617145912973
1959,1959,4.068332880849482
1960,1960,0.6906695237654914
1961,1961,1.9356958641066013
1962,1962,3.4068066352734014
1963,1963,2.917327059558117
1964,1964,2.7372482443381085
1965,1965,3.2926094500816685
1966,1966,2.8020693533086396
1967,1967,0.4171387201706789
1968,1968,2.597655049780445
1969,1969,-0.36140698992750964
1970,1970,-0.7208130093406817
1971,1971,2.602148254109732
1972,1972,3.1684229098524197
1973,1973,2.742163369446682
1974,1974,-3.72143347864633
1975,1975,0.6550781153386587
1976,1976,3.4093834306109794
1977,1977,2.066187993361057
1978,1978,1.4616871923307628
1979,1979,-0.9770297110963555
1980,1980,-1.9783915016879372
1981,1981,0.9861363383770305
1982,1982,-2.7989968090523454
1983,1983,1.7307704425471915
1984,1984,3.4640353665448043
1985,1985,0.9993009568403766
1986,1986,1.1283045534003167
1987,1987,0.728402979054088
1988,1988,1.374326109048296
1989,1989,-0.5262113215634301
1990,1990,0.07308635234869465
1991,1991,-0.5084578274947016
1992,1992,3.2652990456751074
1993,1993,-0.7956131872087768
1994,1994,0.39569321786079303
1995,1995,0.40052283237477226
1996,1996,1.7254835524605827
1997,1997,1.6417666347393278
1998,1998,2.4193972147067755
1999,1999,2.0556167902178846
2000,2000,1.7408092628493854
2001,2001,-0.14512172397042056
2002,2002,1.8000404687927407
2003,2003,2.133145991029506
2004,2004,2.5016490603736674
2005,2005,1.4467142406199507
2006,2006,0.9945991348034533
2007,2007,-0.8157171683640274
2008,2008,-2.0843069149105387
2009,2009,-0.1424369363166922
2010,2010,2.8923923749498925
2011,2011,0.24780269658704057
2012,2012,1.0470899607906148
2013,2013,0.04431650275777965
2014,2014,0.8668235580102435
2015,2015,0.7273655716738325
2016,2016,-0.47827681948142686
2017,2017,0.7756943668098648
2018,2018,0.854090954296316
2019,2019,1.1891491167552726
2020,2020,-0.11437110640123427
2021,2021,3.991245313558045
2022,2022,-0.8264401499331164
2023,2023,-0.18902260011681715
2024,2024,1.6095099724281692
2025,2025,1.0744467580391603
